Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i =  40 | cost = 1.7791 | cstr = 1.1151 | nder = 6.4690 | steps = 10 | lagr = 10.8402 | lm = 8.1378 | mu = 7.9079
i =  41 | cost = 1.7920 | cstr = 1.1057 | nder = 6.5237 | steps = 12 | lagr = 10.8743 | lm = 8.2240 | mu = 8.0128
i =  42 | cost = 1.8054 | cstr = 1.0960 | nder = 6.5633 | steps = 11 | lagr = 10.8951 | lm = 8.3017 | mu = 8.1098
i =  43 | cost = 1.8203 | cstr = 1.0860 | nder = 6.5855 | steps = 12 | lagr = 10.9036 | lm = 8.3705 | mu = 8.1985
i =  44 | cost = 1.8345 | cstr = 1.0761 | nder = 6.6082 | steps = 12 | lagr = 10.9010 | lm = 8.4306 | mu = 8.2785
i =  45 | cost = 1.8502 | cstr = 1.0655 | nder = 6.6056 | steps = 11 | lagr = 10.8819 | lm = 8.4805 | mu = 8.3496
i =  46 | cost = 1.8645 | cstr = 1.0551 | nder = 6.5977 | steps = 11 | lagr = 10.8524 | lm = 8.5213 | mu = 8.4111
i =  47 | cost = 1.8782 | cstr = 1.0459 | nder = 6.5843 | steps = 12 | lagr = 10.8231 | lm = 8.5547 | mu = 8.4631
i =  48 | cost = 1.8942 | cstr = 1.0350 | nder = 6.5507 | steps = 11 | lagr = 10.7696 | lm = 8.5764 | mu = 8.5064
i =  49 | cost = 1.9091 | cstr = 1.0259 | nder = 6.5163 | steps = 11 | lagr = 10.7221 | lm = 8.5913 | mu = 8.5396
i =  50 | cost = 1.9233 | cstr = 1.0161 | nder = 6.4667 | steps = 12 | lagr = 10.6574 | lm = 8.5963 | mu = 8.5642
i =  51 | cost = 1.9370 | cstr = 1.0072 | nder = 6.4163 | steps = 12 | lagr = 10.5931 | lm = 8.5939 | mu = 8.5794
i =  52 | cost = 1.9516 | cstr = 0.9977 | nder = 6.3507 | steps = 12 | lagr = 10.5140 | lm = 8.5818 | mu = 8.5863
i =  53 | cost = 1.9646 | cstr = 0.9885 | nder = 6.2789 | steps = 11 | lagr = 10.4267 | lm = 8.5611 | mu = 8.5841
i =  54 | cost = 1.9809 | cstr = 0.9784 | nder = 6.1890 | steps = 12 | lagr = 10.3258 | lm = 8.5300 | mu = 8.5732
i =  55 | cost = 1.9935 | cstr = 0.9697 | nder = 6.0882 | steps = 11 | lagr = 10.2275 | lm = 8.4922 | mu = 8.5528
i =  56 | cost = 2.0088 | cstr = 0.9599 | nder = 5.9773 | steps = 12 | lagr = 10.1128 | lm = 8.4441 | mu = 8.5242
i =  57 | cost = 2.0219 | cstr = 0.9506 | nder = 5.8723 | steps = 11 | lagr = 9.9932 | lm = 8.3879 | mu = 8.4866
i =  58 | cost = 2.0347 | cstr = 0.9422 | nder = 5.7643 | steps = 12 | lagr = 9.8752 | lm = 8.3250 | mu = 8.4405
