Info    : Reading '../results/t01/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t01/domain.msh'

	Symmetric Cantilever 2D - Data Parallelism

> Path = ../results/t01
> Nbr of triangles = 20946
> Iterations:
i =   0 | cost = 3.7447 | cstr = 1.3551 | nder = 8.1516 | steps =  0 | lagr = 3.7447 | lm = 0.0000 | mu = 0.0000
i =  41 | cost = 2.2639 | cstr = 0.9879 | nder = 0.6760 | steps = 15 | lagr = 4.1356 | lm = 1.8948 | mu = 1.9191
i =  42 | cost = 2.2229 | cstr = 0.9987 | nder = 0.4959 | steps = 15 | lagr = 4.1252 | lm = 1.9048 | mu = 1.9074
i =  43 | cost = 2.2164 | cstr = 0.9951 | nder = 0.4130 | steps = 16 | lagr = 4.1037 | lm = 1.8965 | mu = 1.9062
i =  44 | cost = 2.2023 | cstr = 0.9990 | nder = 0.4117 | steps = 16 | lagr = 4.0997 | lm = 1.8995 | mu = 1.9015
i =  45 | cost = 2.1952 | cstr = 0.9997 | nder = 0.3936 | steps = 16 | lagr = 4.0947 | lm = 1.9000 | mu = 1.9005
i =  46 | cost = 2.1905 | cstr = 0.9999 | nder = 0.3780 | steps = 16 | lagr = 4.0903 | lm = 1.9001 | mu = 1.9003
i =  47 | cost = 2.1863 | cstr = 1.0014 | nder = 0.3751 | steps = 16 | lagr = 4.0917 | lm = 1.9029 | mu = 1.9002
i =  48 | cost = 2.1851 | cstr = 1.0017 | nder = 0.3898 | steps = 15 | lagr = 4.0931 | lm = 1.9048 | mu = 1.9015
i =  49 | cost = 2.1856 | cstr = 0.9994 | nder = 0.3631 | steps = 16 | lagr = 4.0863 | lm = 1.9018 | mu = 1.9031
i =  50 | cost = 2.1816 | cstr = 1.0009 | nder = 0.3678 | steps = 16 | lagr = 4.0874 | lm = 1.9042 | mu = 1.9025
i =  51 | cost = 2.1902 | cstr = 0.9961 | nder = 0.3679 | steps = 14 | lagr = 4.0783 | lm = 1.8955 | mu = 1.9033
i =  52 | cost = 2.1815 | cstr = 1.0013 | nder = 0.3915 | steps = 14 | lagr = 4.0861 | lm = 1.9021 | mu = 1.8996
i =  53 | cost = 2.1847 | cstr = 0.9987 | nder = 0.3763 | steps = 15 | lagr = 4.0804 | lm = 1.8982 | mu = 1.9008
i =  54 | cost = 2.1845 | cstr = 0.9988 | nder = 0.3711 | steps = 15 | lagr = 4.0794 | lm = 1.8972 | mu = 1.8996
i =  55 | cost = 2.1844 | cstr = 0.9980 | nder = 0.3546 | steps = 15 | lagr = 4.0751 | lm = 1.8944 | mu = 1.8984
i =  56 | cost = 2.1796 | cstr = 1.0011 | nder = 0.3574 | steps = 16 | lagr = 4.0804 | lm = 1.8987 | mu = 1.8965
i =  57 | cost = 2.1848 | cstr = 0.9980 | nder = 0.3637 | steps = 16 | lagr = 4.0745 | lm = 1.8935 | mu = 1.8976
i =  58 | cost = 2.1823 | cstr = 0.9994 | nder = 0.3793 | steps = 16 | lagr = 4.0756 | lm = 1.8945 | mu = 1.8956
> Stopping condition reached!
> Assembly time = 7.364346898000008 s
> Resolution time = 13.995612877999974 s
