(fenicsx-env) josue@free2602:~/.../code$ mpirun -np 2 python test.py 43

        Symmetric cantilever 3D (Data Parallelism)

> Path = ../results/t43
> Iterations:
i =   0 | cost = 1.6166 | cstr = 1.7707 | nder = 5.2032 | steps =  0 | lagr = 1.6166 | lm = 0.0000 | mu = 0.0000
i =  42 | cost = 1.7527 | cstr = 0.8836 | nder = 0.7129 | steps = 15 | lagr = 1.5773 | lm = 1.3910 | mu = 1.6235
i =  43 | cost = 1.7216 | cstr = 0.9001 | nder = 0.7069 | steps = 16 | lagr = 1.5799 | lm = 1.3181 | mu = 1.5177
i =  44 | cost = 1.6926 | cstr = 0.9163 | nder = 0.7003 | steps = 16 | lagr = 1.5802 | lm = 1.2586 | mu = 1.4258
i =  45 | cost = 1.6647 | cstr = 0.9324 | nder = 0.6908 | steps = 16 | lagr = 1.5781 | lm = 1.2129 | mu = 1.3480
i =  46 | cost = 1.6406 | cstr = 0.9471 | nder = 0.6832 | steps = 16 | lagr = 1.5754 | lm = 1.1788 | mu = 1.2846
i =  47 | cost = 1.6196 | cstr = 0.9603 | nder = 0.6764 | steps = 16 | lagr = 1.5721 | lm = 1.1552 | mu = 1.2346
i =  48 | cost = 1.6010 | cstr = 0.9724 | nder = 0.6700 | steps = 16 | lagr = 1.5687 | lm = 1.1419 | mu = 1.1970
i =  49 | cost = 1.5839 | cstr = 0.9838 | nder = 0.6626 | steps = 16 | lagr = 1.5652 | lm = 1.1385 | mu = 1.1708
i =  50 | cost = 1.5704 | cstr = 0.9930 | nder = 0.6572 | steps = 16 | lagr = 1.5624 | lm = 1.1415 | mu = 1.1554
i =  51 | cost = 1.5599 | cstr = 1.0004 | nder = 0.6531 | steps = 16 | lagr = 1.5604 | lm = 1.1497 | mu = 1.1488
i =  52 | cost = 1.5511 | cstr = 1.0067 | nder = 0.6496 | steps = 16 | lagr = 1.5588 | lm = 1.1626 | mu = 1.1493
i =  53 | cost = 1.5427 | cstr = 1.0121 | nder = 0.6455 | steps = 16 | lagr = 1.5568 | lm = 1.1798 | mu = 1.1556
i =  54 | cost = 1.5369 | cstr = 1.0157 | nder = 0.6430 | steps = 16 | lagr = 1.5555 | lm = 1.1984 | mu = 1.1671
i =  55 | cost = 1.5330 | cstr = 1.0179 | nder = 0.6416 | steps = 15 | lagr = 1.5545 | lm = 1.2177 | mu = 1.1819
i =  56 | cost = 1.5308 | cstr = 1.0191 | nder = 0.6411 | steps = 16 | lagr = 1.5540 | lm = 1.2370 | mu = 1.1988
i =  57 | cost = 1.5290 | cstr = 1.0197 | nder = 0.6408 | steps = 16 | lagr = 1.5534 | lm = 1.2562 | mu = 1.2168
i =  58 | cost = 1.5289 | cstr = 1.0192 | nder = 0.6412 | steps = 16 | lagr = 1.5530 | lm = 1.2738 | mu = 1.2354
i =  59 | cost = 1.5298 | cstr = 1.0179 | nder = 0.6416 | steps = 16 | lagr = 1.5526 | lm = 1.2893 | mu = 1.2535
i =  60 | cost = 1.5314 | cstr = 1.0161 | nder = 0.6421 | steps = 16 | lagr = 1.5521 | lm = 1.3025 | mu = 1.2703
i =  61 | cost = 1.5327 | cstr = 1.0143 | nder = 0.6422 | steps = 16 | lagr = 1.5513 | lm = 1.3141 | mu = 1.2855
i =  62 | cost = 1.5348 | cstr = 1.0121 | nder = 0.6425 | steps = 16 | lagr = 1.5507 | lm = 1.3231 | mu = 1.2989
i =  63 | cost = 1.5371 | cstr = 1.0097 | nder = 0.6427 | steps = 16 | lagr = 1.5498 | lm = 1.3296 | mu = 1.3103
i =  64 | cost = 1.5396 | cstr = 1.0072 | nder = 0.6430 | steps = 15 | lagr = 1.5491 | lm = 1.3337 | mu = 1.3194
i =  65 | cost = 1.5415 | cstr = 1.0050 | nder = 0.6430 | steps = 16 | lagr = 1.5482 | lm = 1.3361 | mu = 1.3261
i =  66 | cost = 1.5434 | cstr = 1.0030 | nder = 0.6432 | steps = 16 | lagr = 1.5474 | lm = 1.3368 | mu = 1.3308
i =  67 | cost = 1.5451 | cstr = 1.0010 | nder = 0.6431 | steps = 16 | lagr = 1.5464 | lm = 1.3356 | mu = 1.3336
> Stopping condition reached!
> Assembly time = 20.987619359000007 s
> Resolution time = 8394.444524968 s
