Info    : Reading '../results/t14/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t14/domain.msh'
> Iterations:
i =  42 | cost = -0.0202 | cstr = 0.9986 | nder = 0.0010 | steps = 15 | lagr = -0.0203 | lm = 0.0212 | mu = 0.0240
i =  43 | cost = -0.0202 | cstr = 0.9989 | nder = 0.0011 | steps = 16 | lagr = -0.0203 | lm = 0.0204 | mu = 0.0226
i =  44 | cost = -0.0202 | cstr = 0.9970 | nder = 0.0051 | steps = 16 | lagr = -0.0203 | lm = 0.0156 | mu = 0.0216
i =  45 | cost = -0.0203 | cstr = 1.0031 | nder = 0.0040 | steps = 16 | lagr = -0.0203 | lm = 0.0249 | mu = 0.0187
i =  46 | cost = -0.0203 | cstr = 1.0001 | nder = 0.0017 | steps = 16 | lagr = -0.0203 | lm = 0.0218 | mu = 0.0216
i =  47 | cost = -0.0203 | cstr = 0.9992 | nder = 0.0016 | steps = 16 | lagr = -0.0203 | lm = 0.0202 | mu = 0.0217
i =  48 | cost = -0.0203 | cstr = 0.9999 | nder = 0.0016 | steps = 16 | lagr = -0.0203 | lm = 0.0208 | mu = 0.0210
i =  49 | cost = -0.0204 | cstr = 1.0006 | nder = 0.0021 | steps = 16 | lagr = -0.0204 | lm = 0.0220 | mu = 0.0209
i =  50 | cost = -0.0204 | cstr = 0.9987 | nder = 0.0030 | steps = 16 | lagr = -0.0204 | lm = 0.0189 | mu = 0.0214
i =  51 | cost = -0.0204 | cstr = 0.9986 | nder = 0.0045 | steps = 16 | lagr = -0.0205 | lm = 0.0173 | mu = 0.0202
i =  52 | cost = -0.0206 | cstr = 1.0057 | nder = 0.0088 | steps = 16 | lagr = -0.0204 | lm = 0.0303 | mu = 0.0188
i =  53 | cost = -0.0204 | cstr = 0.9992 | nder = 0.0030 | steps = 16 | lagr = -0.0204 | lm = 0.0228 | mu = 0.0243
i =  54 | cost = -0.0204 | cstr = 0.9967 | nder = 0.0052 | steps = 16 | lagr = -0.0205 | lm = 0.0169 | mu = 0.0236
i =  55 | cost = -0.0206 | cstr = 0.9988 | nder = 0.0050 | steps = 15 | lagr = -0.0206 | lm = 0.0179 | mu = 0.0204
i =  56 | cost = -0.0207 | cstr = 1.0025 | nder = 0.0042 | steps = 16 | lagr = -0.0207 | lm = 0.0243 | mu = 0.0192
i =  57 | cost = -0.0207 | cstr = 1.0040 | nder = 0.0082 | steps = 16 | lagr = -0.0206 | lm = 0.0296 | mu = 0.0216
