Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i =  41 | cost = 2.7679 | cstr = 1.3395 | nder = 13.6901 | steps =  9 | lagr = 5.9093 | lm = 9.5914 | mu = 8.9130
i =  42 | cost = 2.8110 | cstr = 1.3161 | nder = 13.8589 | steps =  8 | lagr = 5.7987 | lm = 9.7676 | mu = 9.1360
i =  43 | cost = 2.8494 | cstr = 1.2928 | nder = 14.0230 | steps =  8 | lagr = 5.6739 | lm = 9.9375 | mu = 9.3524
i =  44 | cost = 2.8938 | cstr = 1.2686 | nder = 14.1407 | steps =  8 | lagr = 5.5344 | lm = 10.0979 | mu = 9.5612
i =  45 | cost = 2.9349 | cstr = 1.2442 | nder = 14.2424 | steps =  8 | lagr = 5.3777 | lm = 10.2484 | mu = 9.7606
i =  46 | cost = 2.9875 | cstr = 1.2224 | nder = 14.3304 | steps =  8 | lagr = 5.2499 | lm = 10.3934 | mu = 9.9489
i =  47 | cost = 3.0356 | cstr = 1.1987 | nder = 14.3810 | steps =  8 | lagr = 5.0872 | lm = 10.5232 | mu = 10.1262
i =  48 | cost = 3.0883 | cstr = 1.1749 | nder = 14.3956 | steps =  8 | lagr = 4.9180 | lm = 10.6391 | mu = 10.2898
i =  49 | cost = 3.1375 | cstr = 1.1533 | nder = 14.4004 | steps =  8 | lagr = 4.7610 | lm = 10.7444 | mu = 10.4381
i =  50 | cost = 3.1841 | cstr = 1.1307 | nder = 14.3559 | steps =  8 | lagr = 4.5827 | lm = 10.8325 | mu = 10.5714
i =  51 | cost = 3.2303 | cstr = 1.1089 | nder = 14.3010 | steps =  8 | lagr = 4.4060 | lm = 10.9053 | mu = 10.6877
i =  52 | cost = 3.2807 | cstr = 1.0854 | nder = 14.1802 | steps =  8 | lagr = 4.2095 | lm = 10.9571 | mu = 10.7864
i =  53 | cost = 3.3273 | cstr = 1.0646 | nder = 14.0524 | steps =  8 | lagr = 4.0329 | lm = 10.9941 | mu = 10.8651
i =  54 | cost = 3.3764 | cstr = 1.0439 | nder = 13.8961 | steps =  8 | lagr = 3.8580 | lm = 11.0130 | mu = 10.9253
i =  55 | cost = 3.4254 | cstr = 1.0228 | nder = 13.6816 | steps =  8 | lagr = 3.6757 | lm = 11.0120 | mu = 10.9665
i =  56 | cost = 3.4758 | cstr = 1.0027 | nder = 13.4700 | steps =  8 | lagr = 3.5058 | lm = 10.9935 | mu = 10.9880
i =  57 | cost = 3.5303 | cstr = 0.9825 | nder = 13.1856 | steps =  8 | lagr = 3.3383 | lm = 10.9556 | mu = 10.9906
i =  58 | cost = 3.5748 | cstr = 0.9634 | nder = 12.9054 | steps =  8 | lagr = 3.1741 | lm = 10.9009 | mu = 10.9741
i =  59 | cost = 3.6195 | cstr = 0.9455 | nder = 12.6025 | steps =  9 | lagr = 3.0261 | lm = 10.8308 | mu = 10.9398
i =  60 | cost = 3.6667 | cstr = 0.9285 | nder = 12.2916 | steps =  8 | lagr = 2.8929 | lm = 10.7461 | mu = 10.8890
i =  61 | cost = 3.7073 | cstr = 0.9124 | nder = 11.9708 | steps =  8 | lagr = 2.7673 | lm = 10.6481 | mu = 10.8231
i =  62 | cost = 3.7591 | cstr = 0.8943 | nder = 11.5908 | steps =  8 | lagr = 2.6347 | lm = 10.5320 | mu = 10.7432
i =  63 | cost = 3.7902 | cstr = 0.8788 | nder = 11.2375 | steps =  8 | lagr = 2.5143 | lm = 10.4061 | mu = 10.6482
i =  64 | cost = 3.8271 | cstr = 0.8652 | nder = 10.8876 | steps =  8 | lagr = 2.4239 | lm = 10.2714 | mu = 10.5408
i =  65 | cost = 3.8652 | cstr = 0.8505 | nder = 10.5064 | steps =  8 | lagr = 2.3295 | lm = 10.1244 | mu = 10.4230
i =  66 | cost = 3.9032 | cstr = 0.8368 | nder = 10.1450 | steps = 10 | lagr = 2.2501 | lm = 9.9686 | mu = 10.2946
i =  67 | cost = 3.9283 | cstr = 0.8243 | nder = 9.7814 | steps = 10 | lagr = 2.1749 | lm = 9.8056 | mu = 10.1566
i =  68 | cost = 3.9574 | cstr = 0.8132 | nder = 9.4231 | steps = 10 | lagr = 2.1227 | lm = 9.6374 | mu = 10.0105
i =  69 | cost = 3.9965 | cstr = 0.8020 | nder = 9.0592 | steps = 10 | lagr = 2.0841 | lm = 9.4620 | mu = 9.8575
i =  70 | cost = 4.0237 | cstr = 0.7915 | nder = 8.7035 | steps = 12 | lagr = 2.0455 | lm = 9.2814 | mu = 9.6979
i =  71 | cost = 4.0602 | cstr = 0.7796 | nder = 8.3380 | steps = 11 | lagr = 2.0074 | lm = 9.0920 | mu = 9.5325
i =  72 | cost = 4.0758 | cstr = 0.7702 | nder = 7.9799 | steps = 11 | lagr = 1.9771 | lm = 8.9014 | mu = 9.3607
i =  73 | cost = 4.1054 | cstr = 0.7586 | nder = 7.6115 | steps = 11 | lagr = 1.9469 | lm = 8.7020 | mu = 9.1842
i =  74 | cost = 4.1249 | cstr = 0.7475 | nder = 7.2281 | steps = 12 | lagr = 1.9152 | lm = 8.4978 | mu = 9.0024
i =  75 | cost = 4.1573 | cstr = 0.7379 | nder = 6.8817 | steps = 12 | lagr = 1.9153 | lm = 8.2919 | mu = 8.8156
i =  76 | cost = 4.1782 | cstr = 0.7283 | nder = 6.5520 | steps = 12 | lagr = 1.9087 | lm = 8.0822 | mu = 8.6250
