Info    : Reading '../results/t20/domain.msh'...
Info    : 13 entities
Info    : 8331 nodes
Info    : 16378 elements
Info    : Done reading '../results/t20/domain.msh'

	Symmetric Cantilever 2D (non-rectangular domain) - Data Parallelism

> Path = ../results/t20
> Nbr of triangles = 16304
> Iterations:
i =   0 | cost = 5.2693 | cstr = 1.0903 | nder = 13.3858 | steps =  0 | lagr = 5.2693 | lm = 0.0000 | mu = 0.0000
i =  41 | cost = 2.5597 | cstr = 0.9594 | nder = 1.0219 | steps = 15 | lagr = 4.0770 | lm = 1.5831 | mu = 1.6642
i =  42 | cost = 2.4765 | cstr = 0.9771 | nder = 0.5597 | steps = 15 | lagr = 4.0194 | lm = 1.5797 | mu = 1.6255
i =  43 | cost = 2.4450 | cstr = 0.9851 | nder = 0.4614 | steps = 16 | lagr = 3.9951 | lm = 1.5738 | mu = 1.6036
i =  44 | cost = 2.4282 | cstr = 0.9878 | nder = 0.4129 | steps = 16 | lagr = 3.9738 | lm = 1.5649 | mu = 1.5893
i =  45 | cost = 2.4177 | cstr = 0.9870 | nder = 0.3854 | steps = 16 | lagr = 3.9491 | lm = 1.5517 | mu = 1.5777
i =  46 | cost = 2.4096 | cstr = 0.9886 | nder = 0.3703 | steps = 16 | lagr = 3.9342 | lm = 1.5424 | mu = 1.5653
i =  47 | cost = 2.4041 | cstr = 0.9891 | nder = 0.3607 | steps = 16 | lagr = 3.9199 | lm = 1.5326 | mu = 1.5543
i =  48 | cost = 2.3989 | cstr = 0.9902 | nder = 0.3545 | steps = 15 | lagr = 3.9083 | lm = 1.5244 | mu = 1.5440
i =  49 | cost = 2.3924 | cstr = 0.9926 | nder = 0.3426 | steps = 16 | lagr = 3.9009 | lm = 1.5198 | mu = 1.5347
i =  50 | cost = 2.3889 | cstr = 0.9938 | nder = 0.3377 | steps = 16 | lagr = 3.8947 | lm = 1.5152 | mu = 1.5276
i =  51 | cost = 2.3834 | cstr = 0.9957 | nder = 0.3311 | steps = 14 | lagr = 3.8899 | lm = 1.5131 | mu = 1.5217
i =  52 | cost = 2.3822 | cstr = 0.9954 | nder = 0.3230 | steps = 14 | lagr = 3.8835 | lm = 1.5084 | mu = 1.5176
i =  53 | cost = 2.3817 | cstr = 0.9955 | nder = 0.3243 | steps = 15 | lagr = 3.8790 | lm = 1.5042 | mu = 1.5132
i =  54 | cost = 2.3790 | cstr = 0.9961 | nder = 0.3170 | steps = 15 | lagr = 3.8741 | lm = 1.5011 | mu = 1.5089
i =  55 | cost = 2.3784 | cstr = 0.9956 | nder = 0.3158 | steps = 15 | lagr = 3.8681 | lm = 1.4964 | mu = 1.5052
i =  56 | cost = 2.3776 | cstr = 0.9962 | nder = 0.3160 | steps = 16 | lagr = 3.8655 | lm = 1.4935 | mu = 1.5010
i =  57 | cost = 2.3742 | cstr = 0.9981 | nder = 0.3122 | steps = 16 | lagr = 3.8650 | lm = 1.4937 | mu = 1.4975
i =  58 | cost = 2.3751 | cstr = 0.9976 | nder = 0.3133 | steps = 16 | lagr = 3.8624 | lm = 1.4909 | mu = 1.4957
i =  59 | cost = 2.3758 | cstr = 0.9971 | nder = 0.3141 | steps = 15 | lagr = 3.8591 | lm = 1.4876 | mu = 1.4934
i =  60 | cost = 2.3726 | cstr = 0.9988 | nder = 0.3105 | steps = 16 | lagr = 3.8589 | lm = 1.4882 | mu = 1.4907
i =  61 | cost = 2.3706 | cstr = 1.0003 | nder = 0.3116 | steps = 16 | lagr = 3.8612 | lm = 1.4901 | mu = 1.4895
> Stopping condition reached!
> Assembly time = 7.361777470999982 s
> Resolution time = 13.652776285999977 s
