Info    : Reading '../results/t17/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t17/domain.msh'
> Iterations:
i =   0 | cost = -0.5251 | cstr = 1.6689 | nder = 0.4706 | steps =  0 | lagr = -0.5251 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = -0.5643 | cstr = 1.8182 | nder = 2.1530 | steps = 14 | lagr = 1.7393 | lm = 1.6348 | mu = 0.0000
i =   2 | cost = -0.5179 | cstr = 1.6479 | nder = 1.9678 | steps = 13 | lagr = 1.5622 | lm = 1.5168 | mu = 0.2223
i =   3 | cost = -0.4695 | cstr = 1.4826 | nder = 1.8124 | steps = 13 | lagr = 1.4151 | lm = 1.4281 | mu = 0.4638
i =   4 | cost = -0.4231 | cstr = 1.3328 | nder = 1.6997 | steps = 13 | lagr = 1.3026 | lm = 1.3778 | mu = 0.7128
i =   5 | cost = -0.3767 | cstr = 1.1825 | nder = 1.5431 | steps = 13 | lagr = 1.1356 | lm = 1.3071 | mu = 0.9425
i =   6 | cost = -0.3337 | cstr = 1.0371 | nder = 1.2932 | steps = 13 | lagr = 0.8853 | lm = 1.1767 | mu = 1.1026
i =   7 | cost = -0.2924 | cstr = 0.9027 | nder = 0.9037 | steps = 15 | lagr = 0.5510 | lm = 0.9448 | mu = 1.1392
i =   8 | cost = -0.2539 | cstr = 0.7769 | nder = 0.3833 | steps = 15 | lagr = 0.1628 | lm = 0.6005 | mu = 1.0462
i =   9 | cost = -0.2181 | cstr = 0.6775 | nder = 0.1369 | steps = 16 | lagr = -0.1747 | lm = 0.2174 | mu = 0.8618
i =  10 | cost = -0.2708 | cstr = 0.8413 | nder = 0.0024 | steps = 16 | lagr = -0.0276 | lm = 0.3190 | mu = 0.6361
i =  11 | cost = -0.2731 | cstr = 0.8523 | nder = 0.1667 | steps = 15 | lagr = -0.1258 | lm = 0.1985 | mu = 0.4935
i =  12 | cost = -0.3136 | cstr = 0.9694 | nder = 0.0217 | steps = 16 | lagr = -0.0256 | lm = 0.2981 | mu = 0.3593
i =  13 | cost = -0.3149 | cstr = 0.9792 | nder = 0.0370 | steps = 16 | lagr = -0.0338 | lm = 0.2875 | mu = 0.3291
i =  14 | cost = -0.3213 | cstr = 1.0003 | nder = 0.0044 | steps = 16 | lagr = -0.0121 | lm = 0.3092 | mu = 0.3086
i =  15 | cost = -0.3125 | cstr = 0.9642 | nder = 0.1111 | steps = 16 | lagr = -0.0850 | lm = 0.2373 | mu = 0.3089
i =  16 | cost = -0.3453 | cstr = 1.0696 | nder = 0.1560 | steps = 15 | lagr = 0.0915 | lm = 0.4129 | mu = 0.2738
i =  17 | cost = -0.2905 | cstr = 0.9016 | nder = 0.2447 | steps = 16 | lagr = -0.1700 | lm = 0.1444 | mu = 0.3409
i =  18 | cost = -0.3287 | cstr = 1.0233 | nder = 0.0248 | steps = 16 | lagr = -0.0280 | lm = 0.2944 | mu = 0.2479
i =  19 | cost = -0.3222 | cstr = 0.9990 | nder = 0.0638 | steps = 15 | lagr = -0.0537 | lm = 0.2687 | mu = 0.2707
i =  20 | cost = -0.3329 | cstr = 1.0365 | nder = 0.0478 | steps = 16 | lagr = 0.0210 | lm = 0.3427 | mu = 0.2697
i =  21 | cost = -0.2947 | cstr = 0.9159 | nder = 0.2560 | steps = 15 | lagr = -0.1761 | lm = 0.1372 | mu = 0.3053
i =  22 | cost = -0.3330 | cstr = 1.0348 | nder = 0.0239 | steps = 15 | lagr = -0.0292 | lm = 0.2947 | mu = 0.2253
i =  23 | cost = -0.3216 | cstr = 0.9966 | nder = 0.0883 | steps = 16 | lagr = -0.0703 | lm = 0.2522 | mu = 0.2591
i =  24 | cost = -0.3390 | cstr = 1.0532 | nder = 0.0782 | steps = 16 | lagr = 0.0396 | lm = 0.3621 | mu = 0.2557
i =  25 | cost = -0.2842 | cstr = 0.8920 | nder = 0.3194 | steps = 15 | lagr = -0.2145 | lm = 0.0912 | mu = 0.3071
i =  26 | cost = -0.3230 | cstr = 0.9968 | nder = 0.1654 | steps = 15 | lagr = -0.1236 | lm = 0.2000 | mu = 0.2065
