Info    : Reading '../results/t21/domain.msh'...
Info    : 17 entities
Info    : 11800 nodes
Info    : 23238 elements
Info    : Done reading '../results/t21/domain.msh'

	Heat conduction with four sources (single) - Data Parallelism

> Path = ../results/t21
> Nbr of triangles = 23206
> Iterations:
i =   0 | cost = 0.1946 | cstr = 1.5485 | nder = 0.6031 | steps =  0 | lagr = 0.1946 | lm = 0.0000 | mu = 0.0000
i =  41 | cost = 0.1511 | cstr = 1.0126 | nder = 0.0709 | steps = 16 | lagr = 0.1524 | lm = 0.1162 | mu = 0.0911
i =  42 | cost = 0.1505 | cstr = 1.0126 | nder = 0.0704 | steps = 15 | lagr = 0.1520 | lm = 0.1284 | mu = 0.1032
i =  43 | cost = 0.1502 | cstr = 1.0108 | nder = 0.0713 | steps = 16 | lagr = 0.1516 | lm = 0.1367 | mu = 0.1152
i =  44 | cost = 0.1501 | cstr = 1.0085 | nder = 0.0731 | steps = 16 | lagr = 0.1512 | lm = 0.1425 | mu = 0.1255
i =  45 | cost = 0.1500 | cstr = 1.0057 | nder = 0.0739 | steps = 16 | lagr = 0.1508 | lm = 0.1451 | mu = 0.1337
i =  46 | cost = 0.1501 | cstr = 1.0020 | nder = 0.0721 | steps = 16 | lagr = 0.1504 | lm = 0.1431 | mu = 0.1391
i =  47 | cost = 0.1499 | cstr = 0.9995 | nder = 0.0703 | steps = 16 | lagr = 0.1498 | lm = 0.1399 | mu = 0.1410
i =  48 | cost = 0.1497 | cstr = 0.9976 | nder = 0.0680 | steps = 16 | lagr = 0.1494 | lm = 0.1357 | mu = 0.1405
i =  49 | cost = 0.1496 | cstr = 0.9957 | nder = 0.0653 | steps = 16 | lagr = 0.1490 | lm = 0.1296 | mu = 0.1382
i =  50 | cost = 0.1492 | cstr = 0.9952 | nder = 0.0631 | steps = 16 | lagr = 0.1486 | lm = 0.1244 | mu = 0.1341
i =  51 | cost = 0.1488 | cstr = 0.9952 | nder = 0.0612 | steps = 16 | lagr = 0.1482 | lm = 0.1199 | mu = 0.1295
i =  52 | cost = 0.1483 | cstr = 0.9967 | nder = 0.0601 | steps = 16 | lagr = 0.1479 | lm = 0.1184 | mu = 0.1249
i =  53 | cost = 0.1481 | cstr = 0.9960 | nder = 0.0587 | steps = 16 | lagr = 0.1476 | lm = 0.1138 | mu = 0.1218
