Info    : Reading '../results/t19/domain.msh'...
Info    : 17 entities
Info    : 26396 nodes
Info    : Reading '../results/t19/domain.msh'...
Info    : 17 entities
Info    : 26396 nodes
Info    : 52283 elements
Info    : 52283 elements
Info    : Done reading '../results/t19/domain.msh'
Info    : Done reading '../results/t19/domain.msh'

	Cantilever with two loads II (Task Parallelism)

> Path = ../results/t19
> Nbr of triangles = 52155
> Iterations:
i =   0 | cost = 4.7432 | cstr = 1.2172 | nder = 12.0742 | steps =  0 | lagr = 4.7432 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 3.9275 | cstr = 1.2425 | nder = 7.2824 | steps = 13 | lagr = 3.9862 | lm = 0.4846 | mu = 0.0000
i =   2 | cost = 3.4125 | cstr = 1.2679 | nder = 4.7733 | steps = 13 | lagr = 3.5367 | lm = 0.7313 | mu = 0.1960
i =   3 | cost = 3.0556 | cstr = 1.2940 | nder = 3.2613 | steps = 13 | lagr = 3.2607 | lm = 0.9911 | mu = 0.4036
i =   4 | cost = 2.8004 | cstr = 1.3188 | nder = 2.2718 | steps = 14 | lagr = 3.1000 | lm = 1.2583 | mu = 0.6214
i =   5 | cost = 2.6081 | cstr = 1.3427 | nder = 1.6438 | steps = 16 | lagr = 3.0156 | lm = 1.5317 | mu = 0.8470
i =   6 | cost = 2.4723 | cstr = 1.3601 | nder = 1.2156 | steps = 15 | lagr = 2.9904 | lm = 1.7985 | mu = 1.0789
i =   7 | cost = 2.3847 | cstr = 1.3680 | nder = 0.9893 | steps = 16 | lagr = 3.0037 | lm = 2.0497 | mu = 1.3146
i =   8 | cost = 2.3327 | cstr = 1.3650 | nder = 0.9007 | steps = 16 | lagr = 3.0321 | lm = 2.2808 | mu = 1.5515
i =   9 | cost = 2.3111 | cstr = 1.3510 | nder = 0.8939 | steps = 16 | lagr = 3.0617 | lm = 2.4890 | mu = 1.7877
i =  10 | cost = 2.3066 | cstr = 1.3311 | nder = 0.9189 | steps = 16 | lagr = 3.0853 | lm = 2.6822 | mu = 2.0206
i =  11 | cost = 2.3184 | cstr = 1.3039 | nder = 0.9478 | steps = 16 | lagr = 3.0940 | lm = 2.8556 | mu = 2.2484
i =  12 | cost = 2.3464 | cstr = 1.2721 | nder = 0.9893 | steps = 16 | lagr = 3.0919 | lm = 3.0114 | mu = 2.4678
i =  13 | cost = 2.3803 | cstr = 1.2375 | nder = 1.0126 | steps = 16 | lagr = 3.0720 | lm = 3.1496 | mu = 2.6751
i =  14 | cost = 2.4237 | cstr = 1.2001 | nder = 1.0206 | steps = 16 | lagr = 3.0374 | lm = 3.2661 | mu = 2.8663
i =  15 | cost = 2.4716 | cstr = 1.1634 | nder = 1.0256 | steps = 15 | lagr = 2.9943 | lm = 3.3627 | mu = 3.0362
i =  16 | cost = 2.5203 | cstr = 1.1270 | nder = 1.0122 | steps = 15 | lagr = 2.9405 | lm = 3.4353 | mu = 3.1815
i =  17 | cost = 2.5693 | cstr = 1.0944 | nder = 0.9866 | steps = 16 | lagr = 2.8895 | lm = 3.4874 | mu = 3.2988
