Info    : Reading '../results/t18/domain.msh'...
Info    : 17 entities
Info    : 26396 nodes
Info    : 52283 elements
Info    : Done reading '../results/t18/domain.msh'

	Cantilever with two loads II - Data Parallelism

> Path = ../results/t18
> Nbr of triangles = 52155
> Iterations:
i =   0 | cost = 4.7432 | cstr = 1.2172 | nder = 12.0742 | steps =  0 | lagr = 4.7432 | lm = 0.0000 | mu = 0.0000
i =  41 | cost = 2.6365 | cstr = 0.9752 | nder = 0.8153 | steps = 16 | lagr = 2.5755 | lm = 2.4304 | mu = 2.4800
i =  42 | cost = 2.6110 | cstr = 0.9802 | nder = 0.6459 | steps = 15 | lagr = 2.5627 | lm = 2.4167 | mu = 2.4563
i =  43 | cost = 2.6019 | cstr = 0.9798 | nder = 0.5297 | steps = 16 | lagr = 2.5531 | lm = 2.3970 | mu = 2.4373
i =  44 | cost = 2.5905 | cstr = 0.9821 | nder = 0.4905 | steps = 16 | lagr = 2.5476 | lm = 2.3823 | mu = 2.4180
i =  45 | cost = 2.5885 | cstr = 0.9817 | nder = 0.4854 | steps = 16 | lagr = 2.5450 | lm = 2.3645 | mu = 2.4010
i =  46 | cost = 2.5805 | cstr = 0.9842 | nder = 0.4961 | steps = 16 | lagr = 2.5430 | lm = 2.3520 | mu = 2.3836
i =  47 | cost = 2.5752 | cstr = 0.9858 | nder = 0.4856 | steps = 16 | lagr = 2.5418 | lm = 2.3401 | mu = 2.3685
i =  48 | cost = 2.5691 | cstr = 0.9873 | nder = 0.4646 | steps = 16 | lagr = 2.5393 | lm = 2.3295 | mu = 2.3550
i =  49 | cost = 2.5619 | cstr = 0.9898 | nder = 0.4940 | steps = 16 | lagr = 2.5380 | lm = 2.3224 | mu = 2.3429
i =  50 | cost = 2.5616 | cstr = 0.9904 | nder = 0.5554 | steps = 16 | lagr = 2.5393 | lm = 2.3140 | mu = 2.3331
i =  51 | cost = 2.5586 | cstr = 0.9915 | nder = 0.5693 | steps = 16 | lagr = 2.5390 | lm = 2.3071 | mu = 2.3240
i =  52 | cost = 2.5546 | cstr = 0.9931 | nder = 0.5932 | steps = 16 | lagr = 2.5386 | lm = 2.3021 | mu = 2.3160
i =  53 | cost = 2.5521 | cstr = 0.9945 | nder = 0.5945 | steps = 16 | lagr = 2.5393 | lm = 2.2983 | mu = 2.3094
i =  54 | cost = 2.5479 | cstr = 0.9960 | nder = 0.6526 | steps = 16 | lagr = 2.5387 | lm = 2.2961 | mu = 2.3041
