Info    : Reading '../results/t12/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : Done reading '../results/t12/domain.msh'

	Heat conduction with two sinks (single) - Data Parallelism

> Path = ../results/t12
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.1881 | cstr = 1.3151 | nder = 3.1994 | steps =  0 | lagr = 1.1881 | lm = 0.0000 | mu = 0.0000
i =  41 | cost = 1.2940 | cstr = 0.9961 | nder = 5.5771 | steps = 12 | lagr = 1.2694 | lm = 6.2338 | mu = 6.2417
i =  42 | cost = 1.3043 | cstr = 0.9866 | nder = 5.5293 | steps = 11 | lagr = 1.2208 | lm = 6.2111 | mu = 6.2379
i =  43 | cost = 1.3157 | cstr = 0.9764 | nder = 5.4684 | steps = 12 | lagr = 1.1693 | lm = 6.1779 | mu = 6.2250
i =  44 | cost = 1.3319 | cstr = 0.9642 | nder = 5.3850 | steps = 12 | lagr = 1.1113 | lm = 6.1310 | mu = 6.2025
i =  45 | cost = 1.3441 | cstr = 0.9536 | nder = 5.2986 | steps = 12 | lagr = 1.0602 | lm = 6.0758 | mu = 6.1685
i =  46 | cost = 1.3560 | cstr = 0.9433 | nder = 5.2055 | steps = 12 | lagr = 1.0122 | lm = 6.0113 | mu = 6.1246
i =  47 | cost = 1.3680 | cstr = 0.9338 | nder = 5.1022 | steps = 12 | lagr = 0.9705 | lm = 5.9389 | mu = 6.0712
i =  48 | cost = 1.3789 | cstr = 0.9235 | nder = 4.9891 | steps = 11 | lagr = 0.9252 | lm = 5.8564 | mu = 6.0092
i =  49 | cost = 1.3906 | cstr = 0.9137 | nder = 4.8640 | steps = 12 | lagr = 0.8858 | lm = 5.7657 | mu = 5.9380
i =  50 | cost = 1.3994 | cstr = 0.9041 | nder = 4.7346 | steps = 12 | lagr = 0.8470 | lm = 5.6668 | mu = 5.8583
i =  51 | cost = 1.4109 | cstr = 0.8943 | nder = 4.5953 | steps = 12 | lagr = 0.8120 | lm = 5.5592 | mu = 5.7705
i =  52 | cost = 1.4216 | cstr = 0.8847 | nder = 4.4524 | steps = 12 | lagr = 0.7808 | lm = 5.4441 | mu = 5.6744
i =  53 | cost = 1.4294 | cstr = 0.8750 | nder = 4.3002 | steps = 12 | lagr = 0.7484 | lm = 5.3207 | mu = 5.5706
i =  54 | cost = 1.4403 | cstr = 0.8655 | nder = 4.1434 | steps = 12 | lagr = 0.7241 | lm = 5.1903 | mu = 5.4591
i =  55 | cost = 1.4510 | cstr = 0.8563 | nder = 3.9806 | steps = 11 | lagr = 0.7044 | lm = 5.0533 | mu = 5.3403
i =  56 | cost = 1.4602 | cstr = 0.8470 | nder = 3.8153 | steps = 12 | lagr = 0.6857 | lm = 4.9091 | mu = 5.2148
i =  57 | cost = 1.4658 | cstr = 0.8381 | nder = 3.6444 | steps = 12 | lagr = 0.6690 | lm = 4.7591 | mu = 5.0827
i =  58 | cost = 1.4758 | cstr = 0.8292 | nder = 3.4707 | steps = 12 | lagr = 0.6607 | lm = 4.6032 | mu = 4.9443
i =  59 | cost = 1.4849 | cstr = 0.8197 | nder = 3.2920 | steps = 13 | lagr = 0.6519 | lm = 4.4399 | mu = 4.8002
i =  60 | cost = 1.4923 | cstr = 0.8118 | nder = 3.1232 | steps = 12 | lagr = 0.6527 | lm = 4.2739 | mu = 4.6499
